GEOID,NAME,county,pct_rent_occ,pct_own_occ
25001015300,"Census Tract 153, Barnstable County, Massachusetts",Barnstable,71.2468193384224,28.75318066157761
25003900100,"Census Tract 9001, Berkshire County, Massachusetts",Berkshire,95.94594594594594,4.054054054054054
25003900200,"Census Tract 9002, Berkshire County, Massachusetts",Berkshire,75.5868544600939,24.413145539906104
25003900300,"Census Tract 9003, Berkshire County, Massachusetts",Berkshire,21.880819366852887,78.11918063314711
25003900400,"Census Tract 9004, Berkshire County, Massachusetts",Berkshire,32.077249175694774,67.92275082430524
25003900500,"Census Tract 9005, Berkshire County, Massachusetts",Berkshire,8.27790096082779,91.7220990391722
25003900600,"Census Tract 9006, Berkshire County, Massachusetts",Berkshire,56.8081991215227,43.1918008784773
25003900700,"Census Tract 9007, Berkshire County, Massachusetts",Berkshire,22.94665537679932,77.05334462320069
25003900800,"Census Tract 9008, Berkshire County, Massachusetts",Berkshire,2.6672496720594663,97.33275032794053
25003900900,"Census Tract 9009, Berkshire County, Massachusetts",Berkshire,36.94510739856802,63.05489260143198
25003901100,"Census Tract 9011, Berkshire County, Massachusetts",Berkshire,32.29107447413303,67.70892552586697
25003911100,"Census Tract 9111, Berkshire County, Massachusetts",Berkshire,4.093567251461988,95.90643274853801
25003912100,"Census Tract 9121, Berkshire County, Massachusetts",Berkshire,25.93739250085999,74.06260749914001
25003913100,"Census Tract 9131, Berkshire County, Massachusetts",Berkshire,36.18272274988693,63.81727725011307
25003914100,"Census Tract 9141, Berkshire County, Massachusetts",Berkshire,23.67736339982654,76.32263660017347
25003920101,"Census Tract 9201.01, Berkshire County, Massachusetts",Berkshire,26.762402088772845,73.23759791122716
25003920102,"Census Tract 9201.02, Berkshire County, Massachusetts",Berkshire,18.719806763285025,81.28019323671496
25003921300,"Census Tract 9213, Berkshire County, Massachusetts",Berkshire,48.70665932856357,51.29334067143644
25003921400,"Census Tract 9214, Berkshire County, Massachusetts",Berkshire,42.81437125748503,57.18562874251497
25003921500,"Census Tract 9215, Berkshire County, Massachusetts",Berkshire,32.93556085918855,67.06443914081146
25003922100,"Census Tract 9221, Berkshire County, Massachusetts",Berkshire,53.04347826086957,46.95652173913044
25003922200,"Census Tract 9222, Berkshire County, Massachusetts",Berkshire,39.23472301541976,60.76527698458024
25003922300,"Census Tract 9223, Berkshire County, Massachusetts",Berkshire,31.33414932680538,68.66585067319461
25003923100,"Census Tract 9231, Berkshire County, Massachusetts",Berkshire,11.928429423459244,88.07157057654076
25003924100,"Census Tract 9241, Berkshire County, Massachusetts",Berkshire,34.1553637484587,65.84463625154132
25003925101,"Census Tract 9251.01, Berkshire County, Massachusetts",Berkshire,23.715415019762844,76.28458498023716
25003925102,"Census Tract 9251.02, Berkshire County, Massachusetts",Berkshire,32.17800599058622,67.82199400941377
25003926100,"Census Tract 9261, Berkshire County, Massachusetts",Berkshire,18.475274725274726,81.52472527472527
