city,zone,ward,ward_no,total_bill_2013,comm_bill_2013,resident_bill_2013,total_bill_2014,comm_bill_2014,resident_bill_2014,total_bill_2015,comm_bill_2015,resident_bill_2015,area,pop2011
Bengaluru City,WEST,Mahalakshmipuram,67,232.04,33.17,198.87,285.58,40.39,245.19,383.15,58.51,324.63,0.9,35709
Bengaluru City,WEST,Laggere,68,291.32,13.18,278.14,586.07,36.27,549.81,654.98,66.07,588.92,1.8,34574
Bengaluru City,RR NAGAR,Rajagopalanagar,69,159.05,5.75,153.3,359.31,24.02,335.29,423.7,46.61,377.09,0.9,44615
Bengaluru City,DASARAHALLI,Hegganahalli,70,204.2,12.21,191.99,426.55,26.54,400.02,583.48,48.52,534.96,1.6,57077
Bengaluru City,DASARAHALLI,Herohalli,71,0,0,0,2.44,0.04,2.4,15.13,0.98,14.15,2.2,61479
Bengaluru City,RR NAGAR,Kottigepalya,72,228.67,18.35,210.32,361.83,37.7,324.13,474.78,59.43,415.35,1.8,66314
Bengaluru City,RR NAGAR,Shakthiganapathi nagar,73,286.64,47.49,239.15,341.37,56.29,285.08,461.85,76.43,385.41,7.8,62272
Bengaluru City,WEST,Shankaramata,74,285.1,38.22,246.88,343.81,44.71,299.1,445.53,60.34,385.19,5.8,68922
Bengaluru City,WEST,Gayathrinagar,75,194.37,35.34,159.03,246.46,46.16,200.3,357.82,76.51,281.31,0.7,43844
Bengaluru City,WEST,Dattathreya Temple,76,226.12,47.63,178.49,290.89,65.09,225.8,401.84,97.81,304.02,1.1,48734
Bengaluru City,WEST,Pulikeshinagar,77,332.3,109.78,222.52,392.32,126.51,265.81,519.54,171.11,348.42,0.6,33236
Bengaluru City,EAST,Sarvagnanagar,78,175.57,50.75,124.82,216,62.45,153.55,277.62,74.71,202.91,0.7,33388
Bengaluru City,EAST,Hoysalanagar,79,452.24,216.19,236.05,547.43,273.73,273.7,707.8,353.41,354.4,1.7,28835
Bengaluru City,EAST,Vignananagar,80,46.74,5,41.74,340.78,15.62,325.15,513.51,59.59,453.92,3.6,37291
Bengaluru City,MAHADEVPURA,Garudacharpalya,81,73.15,27.18,45.97,297.71,38.24,259.47,384.57,229.41,155.16,2.1,35228
Bengaluru City,MAHADEVPURA,Kadugodi,82,9.09,0,9.09,21.37,0.17,21.2,38.38,15.73,22.65,5.7,57062
Bengaluru City,MAHADEVPURA,Hagadooru,83,134.64,59.32,75.33,255.44,75.44,180,333.09,105.56,227.52,6.8,49631
Bengaluru City,MAHADEVPURA,Doddanekkundi,84,511.14,321.89,189.24,854.45,451.72,402.73,1093.53,641.35,452.18,11.2,43942
Bengaluru City,MAHADEVPURA,Marathalli,85,80.46,25.11,55.35,207.26,50.07,157.2,416.19,176.01,240.18,12.6,50556
Bengaluru City,MAHADEVPURA,HAL Airport,86,11.3,0,11.3,141.46,2.55,138.92,238.07,20.67,217.4,12,63083
Bengaluru City,MAHADEVPURA,Jeevanbhimanagar,87,486.31,291.48,194.84,581.12,339.03,242.1,756.31,445.58,310.73,3.1,39768
Bengaluru City,EAST,Jogupalya,88,287.42,77.33,210.1,343.62,97.11,246.51,434.19,119.39,314.8,6.8,39926
Bengaluru City,EAST,Ulsoor,89,1195.08,978.52,216.56,1433.59,1165.85,267.74,1831.75,1491.9,339.85,1.9,38251
Bengaluru City,EAST,Bharathinagar,90,296.91,205.11,91.8,380.73,264.71,116.02,470.5,320.11,150.38,0.9,33793
Bengaluru City,EAST,Shivajinagar,91,275.38,84.23,191.15,359.03,114.47,244.56,488.84,164.32,324.51,1.7,35090
Bengaluru City,EAST,Vasanthnagar,92,1426.69,1137.75,288.95,1546.52,1207.97,338.55,1936.6,1541.91,394.69,0.8,32689
Bengaluru City,EAST,Gandhinagar,93,1899.74,1492.13,407.61,1753.72,1377.9,375.82,2305.23,1849.8,455.43,0.4,37506
Bengaluru City,WEST,Subhashnagar,94,59.3,7.05,52.24,74.42,9.14,65.28,98.09,10.4,87.69,3.1,22815
Bengaluru City,WEST,Okalipuram,95,122.13,37.09,85.04,163.36,52.98,110.39,215.77,70.46,145.31,1.9,31208
Bengaluru City,WEST,Dayanandanagar,96,134.33,41.97,92.36,173.44,57.66,115.79,241.27,78.63,162.63,1.3,37693
Bengaluru City,WEST,Prakashnagar,97,158.21,58.07,100.15,198.09,72.67,125.41,269.07,100.4,168.67,0.8,38110
Bengaluru City,WEST,Rajajinagar,98,236,71.49,164.5,322.4,114.38,208.02,427.16,143.56,283.6,0.4,35721
Bengaluru City,WEST,Basaveshwaranagar,99,337.95,55.48,282.47,416.76,73.52,343.24,559.06,99.71,459.35,0.6,32913
Bengaluru City,WEST,Kamakshipalya,100,153.94,27.48,126.46,196.58,36.61,159.96,279.53,60.49,219.04,0.9,33084
Bengaluru City,WEST,Vrushabhavathi Nagar,101,206.51,48.65,157.86,266.18,65.9,200.28,353.45,92.35,261.1,0.8,30333
Bengaluru City,WEST,Kaveripura,102,208.79,24.57,184.22,248.97,32.58,216.39,341.06,50.8,290.26,0.9,30051
Bengaluru City,WEST,Govindrajnagara,103,98.06,19.24,78.82,120.73,25.12,95.61,185.81,36.3,149.51,1,50893
Bengaluru City,WEST,Agrahara Dasarahalli,104,162.65,32.92,129.73,201.46,44.44,157.01,287.01,60.34,226.67,1.7,53532
Bengaluru City,WEST,Dr. Rajkumar Ward,105,184.15,82.32,101.83,224.64,104.77,119.87,287.35,126.07,161.28,0.8,26873
Bengaluru City,WEST,Shivanagar,106,156.23,42.58,113.65,195.09,57.98,137.11,267.59,80.62,186.97,0.8,28355
Bengaluru City,WEST,Srirammandira ward,107,246.67,80.24,166.42,307.75,100.05,207.7,430.51,153.94,276.57,1,24181
Bengaluru City,WEST,Chikpet,108,303.74,173.84,129.9,373.91,217.85,156.06,488.44,284.38,204.05,0.8,36461
Bengaluru City,WEST,Sampangiramnagar,109,707.87,582.98,124.9,833.36,687.61,145.75,1049.85,857.83,192.02,1.1,33866
Bengaluru City,EAST,Shanthala Nagar,110,1195.68,808.93,386.75,1537.84,1084.52,453.32,1777.42,1301.2,476.22,0.7,33292
Bengaluru City,EAST,Dommalur,111,997.59,676.47,321.11,1147.68,763.46,384.22,1476.91,999.45,477.46,4.4,27504
Bengaluru City,EAST,Konena Agrahara,112,395.24,185.83,209.41,532.37,251.04,281.33,699.69,315.07,384.62,4,22995
Bengaluru City,EAST,Agaram,113,640.91,573.51,67.41,751.87,663.75,88.12,905.6,794.37,111.23,1.7,30638
Bengaluru City,EAST,Vannarpet,114,131.94,15.22,116.73,171.13,21.06,150.06,226.54,28.15,198.39,2.1,38108
Bengaluru City,EAST,Neelasandra,115,74.01,4.04,69.97,93.81,5.56,88.25,133.89,7.94,125.95,11,36916
Bengaluru City,EAST,Shanthinagar,116,559.91,302.54,257.37,699.33,370.17,329.16,899.5,489.32,410.18,0.8,37060
Bengaluru City,EAST,Sudamnagar,117,204.52,160.88,43.65,259.79,205.24,54.55,382.53,286.57,95.96,0.5,48534
Bengaluru City,SOUTH,Dharmarayaswamy Temple Ward,118,199.54,127.22,72.32,253.17,164.49,88.68,362.38,241.64,120.75,2.7,42095
Bengaluru City,SOUTH,Cottonpet,119,60.59,11.09,49.5,83.35,15.23,68.12,117.68,22.21,95.47,1,28784
Bengaluru City,WEST,Binnypet,120,155.26,39.88,115.38,202.69,54.94,147.76,273.52,81.78,191.74,1.1,27076
Bengaluru City,WEST,Kempapura Agrahara,121,42.19,8.93,33.26,62.13,13.85,48.28,98.58,20.66,77.92,0.8,37344
Bengaluru City,SOUTH,Vijaynagar,122,151.63,49.54,102.09,200.61,73.15,127.45,294.29,106.44,187.85,0.8,37354
Bengaluru City,SOUTH,Hosahalli,123,220.4,50.2,170.2,273.94,64.73,209.22,378.83,87.6,291.23,0.4,40032
Bengaluru City,SOUTH,Marenahalli,124,168.52,24.7,143.82,210.53,32.76,177.77,285.72,45.02,240.7,0.7,40331
Bengaluru City,WEST,Maruthi Mandira Ward,125,192.65,24.87,167.77,249.46,41.54,207.93,328.15,53.22,274.93,0.9,37347
Bengaluru City,WEST,Moodalapalya,126,237.25,31.83,205.42,302.27,47.04,255.23,407.89,60.57,347.32,0.7,21171
Bengaluru City,WEST,Nagarabhavi,127,449.66,43.75,405.92,583.98,74.16,509.82,729.11,97.37,631.74,0.8,29319
Bengaluru City,WEST,Jnanabharathi ward,128,186.25,19.66,166.59,506.36,61.1,445.27,706.3,110.02,596.28,1,43729
Bengaluru City,RR NAGAR,Ullalu,129,38.08,3.24,34.84,140.95,13.27,127.68,249.18,30.93,218.25,1.6,35780
Bengaluru City,RR NAGAR,Nayandanahalli,130,342.93,260.07,82.86,358.9,240.71,118.19,530.23,358.36,171.87,11.9,68132
Bengaluru City,WEST,Attiguppe,131,327.68,49.72,277.96,422.29,71.66,350.63,562.8,97.13,465.67,8.7,58199
Bengaluru City,SOUTH,Hampinagar,132,157.59,23.89,133.71,202.41,32.04,170.36,276.59,43.49,233.1,2.1,42785
Bengaluru City,SOUTH,Bapujinagar,133,166.51,41.39,125.12,215.68,55.26,160.42,353.41,81.23,272.18,1.4,41487
