townname,cityid,ctycode,plcode,massgis,mfallow,siteplan,mfspga,mfattach,mfmixed,mfconvert,mfparcel,mfminlot,unitarea,townhous,mfsenior,onlyold,zonedist,agelimit,overlay,resdist,agezone,zoneweb,accesapt,aaspga,aafamily,cluster,clbuilt,clspga,cladopt,clamend,clbonus,cltype,clparcel,clminlot,clopen,include,incstruc,inclieu,incbonus,increlax,incadopt,incdevs,incunits,growrate,grownum,phasing,phunits,growadpt,growtemp,growexp,exsenior,exafford,exopen,exlodens,exinfra,exother,capfirm,mlaexclud,mlacba,mlapct,shaprule,shapenum,htcalc,front150,longzone,maxfront,frontout,maxbuild,subdrule,subadopt,subamend,subdweb,maxlength,pavewid1,pavewid2,typeroad,rghtway1,curb,sidewalk,sidewide,maxgrade,maxgrad2,wetbylaw,wetadopt,wetamend,ccadopt,wetonline,vernpool,vernlist,buffpool,pooldefn,vernwide,maxjuris,buffisol,isolwide,floodexp,addterms,termdefn,bufflsf,lsfdefn,nobuild,nogowide,delaycert,septrule,septdate,septweb,grndmin,roomflow,housflow,bedcount,maxperc,leachsiz,propback,wetback,wellback,perctest,septtime,noshare,pctsewer,iipartic,iiratio,iicash,sewerfee
STONEHAM,129,17,67665,284,2,,1,1,2,0,,10000,,1,0,0,11,,3,2,0,0,2,1,1,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,3,0,0,90,0,420,1,,1988,0,,32,32,NA,50,3,2,,9,9,1,2004,,0,0,1,1,1,1,100,200,1,100,1,1,0,1,0,0,,1,0,,,,,,,,,,,,,,,4,1,4,0,0
MELROSE,130,17,40115,178,7,0,1,0,1,0,5,5000,2833,1,0,0,14,,1,7,0,1,2,2,1,2,,1,1972,1974,0,3,5,726,20,1,,0,1,0,2004,0,0,0,,0,,,,,,,,,,,0,1,1,60,0,,1,0,0,110,0,1419,1,1958,1992,0,500,32,32,NA,50,3,2,,10,10,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5,0,,,0
SAUGUS,131,9,60015,262,5,0,2,1,0,0,10,10000,2500,1,1,0,10,55,2,4,1,1,0,,,2,,4,1972,,0,1,10,2178,50,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,1,0,0,100,1,781,1,1998,2004,1,500,34,24,MINOR,50,3,2,5,7,9,1,1998,,1,1,1,1,1,1,200,200,1,100,1,1,0,1,1,1,30,1,0,,,,,,,,,,,,,,,5,1,2,0,330
LYNN,132,9,37490,163,7,0,3,0,2,0,1.37741,15000,,1,0,0,10,,1,5,0,0,0,,,2,0,3,,2001,0,1,1.37741,,15,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,1,0,0,75,0,4239,1,1956,2001,0,500,34,34,NA,50,2,2,8,12,12,1,2000,2001,1,0,1,1,1,1,100,100,1,100,1,1,1,1,1,1,25,1,0,,,,,,,,,,,,,,,5,,,,50
SWAMPSCOTT,133,9,68645,291,2,,2,0,0,0,,15000,,0,0,0,6,,3,3,0,0,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,1,1,80,0,,2,0,0,125,0,636,1,,2000,0,500,28,28,NA,44,3,2,6,8,8,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5,0,,,10
MARBLEHEAD,134,9,38400,168,2,,1,0,1,2,,4000,5000,2,1,0,15,55,2,9,0,0,0,,,0,,,,,,,,,,1,2,1,1,0,1996,0,0,0,,0,,,,,,,,,,,0,0,0,,0,,2,0,0,100,0,261,1,1997,,0,500,24,24,MINOR,50,2,1,4,8,10,1,2001,,1,0,1,1,1,1,200,200,1,100,1,1,0,1,0,1,50,1,0,,,,,,,,,,,,,,,5,0,,,100
SALEM,135,9,59105,258,7,0,2,1,1,2,5,6000,3500,1,0,0,10,,2,4,0,0,0,,,2,1,1,1977,,1,1,5,,20,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,,1,,200,0,1205,1,1962,1987,0,500,24,24,MINOR,41,3,2,5,10,10,1,1988,,0,0,0,0,0,,,,0,,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,100
WOBURN,136,17,81035,347,2,,3,1,1,0,,17000,,2,0,0,14,,1,4,0,1,0,,,2,,3,1985,,1,,5,10000,30,1,,0,1,0,,,,0,,0,,,,,,,,,,,0,1,0,,4,,1,0,0,100,0,1100,1,2002,,0,600,26,26,MINOR,50,3,2,,8,8,1,1989,2001,1,1,0,0,0,,,,0,,1,1,0,0,1,1,15,1,0,,,,,,,,,,,,,,,4,1,10,1,1000
WAKEFIELD,137,17,72215,305,2,,4,0,2,2,,8000,1210,2,0,0,10,,3,5,0,1,2,2,1,2,,1,,,,0,10,8000,25,2,3,0,0,0,2002,,18,0,,0,,,,,,,,,,,0,1,1,75,1,24.61539,1,0,0,100,0,1072,1,,,0,600,26,26,MINOR,50,3,2,,8,8,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4,1,3,1,50
WILMINGTON,138,17,80230,342,6,,4,0,2,2,10,10000,4000,2,1,0,8,55,4,5,1,1,2,2,0,2,1,1,2001,,1,3,8,16335,35,3,4,0,2,0,2003,0,0,0,,0,,,,,,,,,,,0,0,0,,5,,1,1,1,200,0,1226,1,1975,2004,1,500,32,32,MINOR,50,2,2,5,6,6,0,,,,,,,,,,,,,,,,,,,,,1,2004,1,5,110,440,1,60,600,10,50,100,1,1,0,1,1,4,1,500
