townname,cityid,ctycode,plcode,massgis,mfallow,siteplan,mfspga,mfattach,mfmixed,mfconvert,mfparcel,mfminlot,unitarea,townhous,mfsenior,onlyold,zonedist,agelimit,overlay,resdist,agezone,zoneweb,accesapt,aaspga,aafamily,cluster,clbuilt,clspga,cladopt,clamend,clbonus,cltype,clparcel,clminlot,clopen,include,incstruc,inclieu,incbonus,increlax,incadopt,incdevs,incunits,growrate,grownum,phasing,phunits,growadpt,growtemp,growexp,exsenior,exafford,exopen,exlodens,exinfra,exother,capfirm,mlaexclud,mlacba,mlapct,shaprule,shapenum,htcalc,front150,longzone,maxfront,frontout,maxbuild,subdrule,subadopt,subamend,subdweb,maxlength,pavewid1,pavewid2,typeroad,rghtway1,curb,sidewalk,sidewide,maxgrade,maxgrad2,wetbylaw,wetadopt,wetamend,ccadopt,wetonline,vernpool,vernlist,buffpool,pooldefn,vernwide,maxjuris,buffisol,isolwide,floodexp,addterms,termdefn,bufflsf,lsfdefn,nobuild,nogowide,delaycert,septrule,septdate,septweb,grndmin,roomflow,housflow,bedcount,maxperc,leachsiz,propback,wetback,wellback,perctest,septtime,noshare,pctsewer,iipartic,iiratio,iicash,sewerfee
HAMILTON,164,9,27900,119,3,,2,0,0,0,5,,6223,2,1,0,5,60,3,3,1,0,2,2,0,2,1,1,1985,,1,3,10,10000,40,0,,,,,,,,0,,0,,,,,,,,,,,0,1,1,50,4,,3,1,2,175,0,1484,1,,,0,500,32,32,MINOR,50,3,0,5,10,10,1,1985,2001,1,1,1,1,1,1,100,100,1,100,1,1,0,1,0,1,50,1,0,,,,,,,,,,,,,,,0,,,,
WENHAM,165,9,74595,320,2,,1,1,0,0,7.5,,,2,1,1,2,60,3,2,1,0,2,2,0,2,1,1,1990,,1,2,10,,20,3,3,1,1,0,1990,,12,0,,0,,,,,,,,,,,0,1,1,100,5,,,1,,170,0,1053,1,1984,2001,0,500,30,16,LOCAL,50,2,0,4.5,10,10,1,1988,1996,1,1,0,0,0,,,,1,100,1,1,0,0,1,1,75,1,0,,,,,,,,,,,,,,,0,,,,
MIDDLETON,166,9,41095,184,2,,1,1,0,2,,100000,20000,2,0,0,10,,3,4,1,1,0,,,2,,1,,,,,20,30000,50,0,,,,,,,,0,,1,7.5,,,,1,0,0,0,0,0,0,0,0,,0,,1,1,1,150,0,1876,1,,2001,0,500,26,26,MINOR,40,2,2,,9,9,0,,,,,,,,,,,,,,,,,,,,,1,2004,0,5,150,450,1,60,,10,100,100,1,1,0,1,0,,,
TOPSFIELD,167,9,70150,298,2,,1,0,2,0,10,20000,8712,0,1,0,7,55,2,4,1,0,1,1,1,2,1,1,,1997,0,,10,,50,0,,,,,,,,0,15,0,,1997,1,2001,,,1,,,,0,1,1,34,1,45.71429,1,1,2,200,0,1023,1,,,0,600,26,26,TYPE I SUBDIVISION,50,2,1,,8,8,1,1989,2003,1,0,1,1,1,0,100,100,1,100,0,0,,0,0,1,100,1,1,1987,0,5,200,600,1,20,600,10,50,100,0,0,0,0,,,,
HULL,168,23,31645,142,5,0,2,0,1,0,5,10000,2000,1,0,0,14,,2,7,0,0,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,1,0,0,90,0,283,1,1988,2001,0,800,25,21,MINOR,46,2,1,,9,9,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5,0,,,25
LAWRENCE,169,9,34550,149,7,1,4,0,2,2,,2250,1750,0,0,0,14,,1,6,0,0,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,5,,3,0,0,70,0,706,1,,2001,0,400,,,NA,50,3,1,,6,12,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5,0,,,
WESTBOROUGH,170,27,75015,328,7,0,4,1,0,2,20,30000,1000,2,0,0,12,,4,5,0,0,0,,,2,1,1,,2004,1,3,5,8000,15,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,90,0,,1,1,5,200,0,1755,1,1975,2000,0,600,30,26,RESIDENTIAL,50,3,1,,6,6,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4,0,,,10000
SHREWSBURY,171,27,61800,271,6,,4,0,2,0,5,16000,10000,2,1,0,14,55,2,8,1,1,2,2,1,2,,1,,2001,1,1,5,12500,40,1,1,0,1,1,1991,0,0,0,,1,25,,0,,0,0,0,0,0,0,0,1,1,75,4,,5,0,0,125,0,6088,1,,2002,1,600,30,30,MINOR,50,3,,5,8,8,0,,,,,,,,,,,,,,,,,,,,,1,,0,5,110,330,0,60,660,10,50,100,0,0,0,4,1,4,0,
WORCESTER,172,27,82000,348,7,0,1,0,2,2,3,5000,2333,1,1,0,23,,7,4,1,1,0,,,2,,1,1991,,1,3,3,,25,1,3,1,1,0,1991,,,0,,0,,,,,,,,,,,0,0,0,,0,,3,0,0,80,0,10993,1,,,0,600,30,30,RESIDENTIAL,50,2,2,6,,,1,1990,,1,1,0,0,0,,,,1,100,1,0,,0,1,1,30,1,0,,,,,,,,,,,,,,,4,1,,1,1158
GRAFTON,173,27,26430,110,2,,1,0,0,2,,20000,5500,0,0,0,9,,2,3,0,1,2,1,0,2,1,1,1991,1999,1,0,1.91307,8000,40,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,,0,,1,0,0,140,0,5132,1,,1998,0,500,22,22,MINOR C,50,2,1,4,8,8,1,1987,,1,0,0,0,0,,,,1,100,1,1,1,1,1,0,,1,1,2004,1,5,110,330,0,60,,10,50,100,0,0,0,3,0,,,20
MILLBURY,174,27,41340,186,2,,1,0,2,2,16,18750,10890,0,0,0,11,,4,7,1,1,0,,,2,,1,1980,1986,1,0,10,12500,30,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,90,5,,1,1,4,150,0,3068,1,,2001,1,500,26,26,MINOR,50,3,2,,8,8,0,,,,,,,,,,,,,,,,,,,,,1,1999,0,5,110,330,0,60,,10,100,100,0,0,0,3,0,,,5000
AUBURN,175,27,2760,17,6,,2,0,1,2,6,40000,10000,2,0,0,10,,5,4,0,1,0,,,2,1,1,1987,,1,1,6,10000,30,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,1,40,3,1,,180,0,2317,1,1986,1995,1,800,24,24,MINOR,40,2,1,5,8,8,1,1982,,0,1,0,0,0,,,,0,,0,0,,0,0,0,,0,1,1985,0,5,110,330,1,60,900,10,50,100,0,0,0,4,0,,,330
SUTTON,176,27,68610,290,6,,1,1,2,0,2.754821,46000,,2,0,0,6,,5,2,1,1,0,,,3,0,1,1999,,1,1,2.754821,8000,20,3,4,0,1,0,2002,1,5,0,,0,,,,,,,,,,,0,1,1,60,1,40,1,1,2,250,0,6229,1,,2004,1,500,26,26,NA,50,3,1,4,9,9,1,1983,2004,1,1,1,1,1,1,100,100,1,100,1,1,0,1,0,1,100,1,1,2003,0,5,110,330,0,30,,10,100,100,0,0,0,1,0,,,2500
NORTHBRIDGE,177,27,46925,216,4,1,4,0,2,2,,6000,1000,2,1,0,12,55,6,6,1,1,0,,,2,,4,1996,,,2,10,5445,30,2,3,0,1,0,2001,0,0,0,,0,,,,,,,,,,,0,1,1,75,0,,1,1,2,200,0,3014,1,1956,1998,1,500,24,24,TYPE I,40,3,2,,7,9,1,1999,,1,0,0,0,0,,,,1,100,1,1,0,1,0,0,,1,1,1999,0,5,110,330,0,60,,10,100,100,0,0,0,3,1,4,1,6000
DOUGLAS,180,27,17300,77,3,,1,0,0,2,,20000,,0,0,0,8,,2,4,1,1,2,1,0,2,0,1,2004,,1,1,,,40,1,3,1,1,1,2004,0,0,0,,1,15,2000,,,1,1,1,1,0,1,0,0,0,,4,,1,1,2,200,0,5538,1,1975,1998,0,500,24,24,RESIDENTIAL,44,2,2,5,10,10,1,1983,,1,1,0,0,0,,,,1,100,1,1,0,1,0,1,50,1,1,2002,0,5,110,330,0,60,,15,50,100,0,0,0,1,1,5,0,5000
UXBRIDGE,181,27,71620,304,6,,2,1,0,2,10,20000,,2,0,0,7,,2,3,0,0,0,,,2,,4,,,1,3,10,14520,40,0,,,,,,,,1,60,0,,2004,1,2009,0,1,0,0,0,0,1,1,1,60,0,,5,1,2,200,0,4589,1,2001,,0,500,26,26,NA,40,1,2,5,8,8,0,,,,,,,,,,,,,,,,,,,,,1,2000,0,6,110,330,0,60,800,10,100,100,0,0,0,2,0,,,831
LEOMINSTER,182,27,35075,153,1,1,5,0,0,1,,18000,5445,1,0,0,8,,3,4,0,1,0,,,2,1,1,,,0,0,5,12500,25,1,4,0,1,0,,,,1,100,1,12.5,2001,0,,1,1,0,0,0,0,1,0,0,,4,,3,1,1,175,0,6662,1,1987,,0,500,34,34,MINOR,50,2,1,4,10,10,0,,,,,,,,,,,,,,,,,,,,,1,,1,5,110,330,0,60,1000,10,50,100,0,0,0,4,1,,1,1000
HOLDEN,183,27,30560,134,7,0,4,1,2,1,20,10000,5000,2,1,0,10,55,2,5,1,0,2,2,1,2,1,1,1994,,1,3,10,10000,25,1,3,0,1,0,2004,0,0,1,100,1,8,1991,0,,0,0,0,0,0,0,0,1,0,90,0,,1,0,0,100,0,6383,1,1971,2002,0,500,28,28,MINOR,50,2,2,,10,10,1,2001,,0,1,1,1,1,1,100,200,1,100,1,1,0,1,0,0,,1,0,,,,,,,,,,,,,,,4,0,,,1280
ATTLEBORO,184,5,2690,16,6,,2,0,1,2,50,6000,4356,2,1,0,13,55,2,8,1,1,0,,,2,1,1,,,0,3,5,8000,25,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,5,,1,0,0,50,0,,1,2001,,1,,26,26,MINOR,40,2,2,5,8,8,1,2001,,1,1,1,1,1,1,100,125,1,25,1,1,1,1,1,1,25,1,0,,,,,,,,,,,,,,,3,0,,,171
NORTH ATTLEBOROUGH,185,5,46575,211,7,1,2,0,2,2,15,7500,9000,0,0,0,11,,2,5,1,0,0,,,2,1,1,,,,1,15,9000,30,0,,,,,,,,0,,1,20,2001,,,0,0,0,0,0,0,0,0,0,,0,,1,1,1,150,0,,1,1974,2004,0,900,26,26,TYPE I,40,3,2,,8,8,0,,,,,,,,,,,,,,,,,,,,,1,1998,0,5,110,330,0,60,,10,75,100,0,0,0,3,0,,,990
FREETOWN,186,5,25240,102,2,,1,1,0,2,,150000,,0,0,0,5,,1,1,0,0,2,2,0,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,1,1,43,4,,,1,1,175,0,,1,1957,,0,750,24,24,MINOR,42,2,1,5,9,9,1,,2003,0,1,0,0,0,,,,1,100,1,1,0,1,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
SEEKONK,187,5,60645,265,0,,,0,0,0,,,,0,0,0,10,,3,5,0,0,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,5,,3,1,2,200,0,,1,1993,,0,1000,30,30,LOCAL/MINOR,50,2,2,5,8,9,1,1980,,1,0,1,1,1,1,100,200,1,100,1,1,0,1,0,1,50,1,0,,,,,,,,,,,,,,,0,,,,
REHOBOTH,188,5,56375,247,2,,2,0,0,0,,180000,60000,0,0,0,3,,3,1,0,0,0,,,0,,,,,,,,,,0,,,,,,,,0,,1,7.5,1988,,,0,1,0,0,0,0,0,0,0,,5,,1,1,1,200,0,,1,1947,1991,0,600,26,26,LOCAL RESIDENTIAL,50,2,0,5,8,8,0,,,,,,,,,,,,,,,,,,,,,1,2003,0,5,137.5,412.5,0,60,,10,60,100,0,0,0,0,,,,
LUNENBURG,189,27,37420,162,3,,1,0,0,0,10,,5445,2,1,0,8,55,4,2,1,0,1,,0,2,1,1,1997,1999,0,1,5,,50,1,4,0,1,1,,,,1,45,1,9,1997,1,2004,1,1,0,0,0,0,1,1,0,90,0,,5,0,0,100,0,,1,1996,2002,0,650,24,24,INTERMEDIATE,50,2,0,,6,9,1,1983,,1,0,1,1,1,0,100,100,1,100,1,1,0,1,0,1,30,1,1,2002,0,6,110,330,0,60,,10,100,100,0,0,1,1,0,,,1980
SOMERSET,190,5,62430,273,6,,1,0,0,0,5,,4000,2,0,0,6,,3,1,0,0,0,,,2,1,1,1986,,1,3,5,8000,30,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,1,0,0,100,0,,1,1954,1999,0,500,28,24,LOCAL,50,2,1,,7,8.5,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4,0,,,200
PRINCETON,191,27,55395,241,0,,2,0,0,2,,217800,,0,0,0,3,,1,1,0,1,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,50,0,,1,1,1,225,0,,1,1995,,1,500,26,26,MINOR,50,2,2,4,12,12,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,
PAXTON,192,27,52420,228,3,,1,0,0,2,10,,20000,2,1,1,3,62,3,2,1,0,2,1,0,2,,1,,,,3,10,20000,30,2,2,0,0,0,2003,,,0,,0,,,,,,,,,,,0,1,0,75,1,40,1,1,1,200,0,,1,,,0,1000,28,28,NA,60,2,2,4,10,12,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,
LEICESTER,193,27,34795,151,2,,1,0,0,0,,15000,,2,1,0,12,55,3,3,1,0,1,,0,2,1,1,2002,,1,2,10,10000,25,0,,,,,,,,1,50,1,8,,0,,1,0,0,0,0,0,0,0,0,,0,,5,1,2,200,0,,1,1995,2003,1,500,28,28,NA,40,2,2,5,10,10,1,,,0,0,0,0,0,,,,1,100,1,0,,1,0,0,,0,1,1988,0,5,110,330,0,60,900,10,50,100,0,0,0,2,1,10,0,4500
SWANSEA,194,5,68750,292,0,,2,0,0,2,,,,0,0,0,5,,2,1,0,0,0,,,2,,1,2002,,0,0,10,10000,35,0,,,,,,,,0,,1,8,1979,,,0,0,0,0,0,0,0,1,0,,0,,,1,,150,0,,1,,,0,,26,26,MINOR,50,2,1,4,9,9,1,1988,,1,0,1,0,0,1,,,1,100,1,1,1,1,1,1,25,1,1,,0,5,110,330,0,60,,10,50,100,0,0,0,0,,,,
